origin,destination,count
128,119,87
129,118,140
129,107,58
118,129,129
128,135,46
129,130,58
87,66,35
76,68,16
125,108,29
108,128,99
119,128,40
128,118,229
128,127,72
127,76,4
97,97,67
128,128,304
118,128,267
129,128,204
128,107,132
117,126,13
145,135,25
128,136,62
129,119,39
118,108,120
128,129,267
128,80,4
108,74,12
85,77,3
129,104,10
108,129,48
108,96,18
129,65,3
118,97,39
118,107,114
108,136,19
128,115,18
108,107,66
108,58,12
77,77,118
77,87,65
77,78,41
48,17,4
46,128,2
87,86,23
86,46,2
47,66,64
66,53,54
80,93,13
93,93,440
107,87,49
77,74,36
74,82,28
125,126,57
135,127,11
118,127,46
119,48,3
47,45,14
87,77,38
67,124,1
78,118,11
124,115,14
137,118,7
118,130,34
118,69,10
125,115,32
125,103,58
103,82,89
82,63,29
125,134,47
134,103,11
92,84,70
71,92,63
93,83,200
82,93,85
107,118,122
117,117,74
117,66,16
107,94,65
93,136,19
136,92,20
93,102,192
102,104,60
93,135,18
126,92,20
102,82,110
84,102,53
102,93,249
102,83,119
102,65,10
83,84,67
97,67,12
66,37,29
36,108,3
106,118,29
118,77,44
58,68,24
79,87,4
97,87,25
108,135,15
115,118,10
87,107,43
107,69,11
69,58,18
108,47,5
77,58,38
72,27,1
28,47,1
117,87,21
102,131,11
134,145,7
102,37,10
47,78,31
75,125,17
94,94,254
94,87,29
87,115,7
115,104,18
104,102,64
102,103,191
92,93,195
53,62,30
102,92,172
102,136,49
112,104,1
92,103,219
92,107,14
58,102,4
58,35,1
67,118,31
67,66,84
67,72,4
130,107,12
77,45,13
67,75,41
108,94,28
75,71,7
83,63,56
63,62,34
66,26,9
67,93,10
103,93,411
75,64,39
54,94,8
94,92,140
136,102,15
83,93,187
66,57,26
77,52,8
53,37,17
66,48,25
77,93,16
114,125,27
137,129,1
129,129,90
129,76,10
66,76,61
84,93,105
92,73,42
83,92,189
103,92,273
113,83,36
73,72,10
53,115,10
94,83,88
74,57,11
66,77,94
77,26,4
25,30,1
30,30,1
94,103,193
92,102,123
65,103,16
93,106,12
94,93,167
93,66,45
66,102,17
93,87,24
88,92,4
83,32,6
128,108,128
107,128,157
92,92,322
103,125,65
125,114,42
115,75,9
114,128,13
129,97,14
96,93,7
94,129,14
68,118,20
108,126,6
126,45,4
37,129,3
108,118,78
102,81,12
92,47,10
27,35,5
71,94,15
94,66,52
83,77,18
63,53,48
145,103,11
82,82,83
102,77,16
77,75,72
76,54,15
54,65,14
74,93,72
103,103,437
102,118,22
53,53,134
83,83,260
103,102,158
53,34,24
53,84,25
94,102,79
94,104,110
104,63,33
37,58,18
76,80,1
83,103,168
83,113,43
83,82,94
93,113,101
92,113,65
103,53,31
56,68,5
57,46,5
26,17,3
17,36,9
45,65,17
75,83,65
129,66,16
92,82,85
102,52,33
102,47,11
74,108,15
139,118,4
137,93,3
104,135,34
144,53,3
63,94,77
74,81,6
72,25,1
25,63,1
119,119,17
130,146,2
138,149,3
138,108,5
68,47,8
66,94,50
103,94,194
125,125,163
104,103,120
75,86,45
86,118,15
108,97,44
87,49,2
75,94,66
76,84,35
94,75,87
75,66,115
85,85,6
85,144,1
135,126,28
93,92,232
82,56,2
102,102,212
118,136,43
136,124,36
124,124,40
94,35,4
35,75,5
93,94,211
93,82,95
82,92,99
93,97,12
93,75,41
94,115,34
94,77,19
75,75,161
75,118,23
93,45,18
64,76,13
76,96,6
96,94,14
93,86,17
124,82,10
82,94,28
113,93,92
93,53,41
52,102,8
94,63,63
63,83,53
